Order ID,Order Date,Ship Date,Product ID,Product,Sub-Category,Category,Customer ID,Customer Name,Country/Region,State,City,Postal Code,Coupon Code,Experience Rating,Price After Discount,Quantity
VFC202300001,2023/01/02,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,10-020-7613,Cesare Plank,United States,Maryland,Gaithersburg,20877,,3,8.00,1.00
VFC202300001,2023/01/02,2023/01/08,MG02,The VFC Water Bottle,Gear,Merchandise,10-020-7613,Cesare Plank,United States,Maryland,Gaithersburg,20877,,3,10.00,1.00
VFC202300002,2023/01/08,,DE01,How to Kickstart Your Metabolism,eBook,Digital,99-846-6622,Ammamaria Bodega,United States,Wisconsin,Franklin,53132,,2,8.00,1.00
VFC202300003,2023/01/16,2023/01/20,MG02,The VFC Water Bottle,Gear,Merchandise,51-062-9388,Rowan Eadmeades,United States,California,Los Angeles,90049,VFC10,1,8.00,3.00
VFC202300004,2023/01/30,,CQ01,Virtual Q&A,Consulting,Digital,25-250-1409,Montgomery MacNalley,United States,Washington,Seattle,98103,,5,20.00,1.00
VFC202300005,2023/01/30,,DE01,How to Kickstart Your Metabolism,eBook,Digital,73-604-3230,Nannie Mutton,United States,Washington,Seattle,98103,,,8.00,1.00
VFC202300006,2023/02/05,,DE02,5-Minute Keto Recipes,eBook,Digital,79-595-2972,Mallissa Neem,United States,Georgia,Smyrna,30080,,,8.00,1.00
VFC202300007,2023/02/16,2023/02/23,MG02,The VFC Water Bottle,Gear,Merchandise,66-321-8655,Cosme Tarborn,United States,Kentucky,Henderson,42420,,5,10.00,1.00
VFC202300008,2023/02/21,2023/02/25,MG02,The VFC Water Bottle,Gear,Merchandise,76-590-5200,Odie Loblie,United States,Florida,Tampa,33614,,4,10.00,3.00
VFC202300009,2023/03/12,2023/03/15,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,10-020-7613,Cesare Plank,United States,Wisconsin,Milwaukee,53209,,4,25.00,1.00
VFC202300009,2023/03/12,2023/03/15,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,10-020-7613,Cesare Plank,United States,Wisconsin,Milwaukee,53209,,4,25.00,6.00
VFC202300010,2023/03/13,2023/03/16,MA04,Gym Stud Tee (Men),Apparel,Merchandise,61-240-2498,Cami Strowthers,United States,Arizona,Scottsdale,85254,VFC15,,21.25,6.00
VFC202300011,2023/03/13,2023/03/18,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,66-827-5930,Ashton Keesman,United States,Virginia,Waynesboro,22980,,5,25.00,3.00
VFC202300012,2023/03/13,,CT01,Virtual Fitness Coach,Consulting,Digital,93-937-0281,Vivyanne Coolbear,United States,Pennsylvania,Philadelphia,19134,,5,30.00,1.00
VFC202300013,2023/03/15,,CT01,Virtual Fitness Coach,Consulting,Digital,99-794-0366,Annabelle Dunbleton,United States,California,San Francisco,94110,,,30.00,1.00
VFC202300014,2023/03/19,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,86-310-5144,Wyn Heber,United States,Colorado,Littleton,80122,,4,8.00,1.00
VFC202300015,2023/03/21,,CT01,Virtual Fitness Coach,Consulting,Digital,17-112-1718,Alberik Lillo,United States,Illinois,Chicago,60623,,5,30.00,1.00
VFC202300016,2023/03/29,,DE02,5-Minute Keto Recipes,eBook,Digital,30-112-5574,Bobby Halliwell,United States,Ohio,Springfield,45503,,,8.00,1.00
VFC202300017,2023/03/29,2023/04/02,MG01,The VFC Gym Towel,Gear,Merchandise,14-772-4324,Portia Andrivot,United States,New York,New York City,10009,,4,20.00,6.00
VFC202300018,2023/04/01,2023/04/08,MA05,Gym Babe Tee (Women),Apparel,Merchandise,91-836-8800,Clive Cannell,United States,Arizona,Sierra Vista,85635,VFC5,4,23.75,3.00
VFC202300019,2023/04/07,2023/04/12,MA04,Gym Stud Tee (Men),Apparel,Merchandise,93-380-8954,Niel de la Tremoille,United States,Pennsylvania,Philadelphia,19120,,,25.00,1.00
VFC202300020,2023/04/08,,CT01,Virtual Fitness Coach,Consulting,Digital,03-245-8181,Coletta Treadwell,United States,Texas,Houston,77041,,5,30.00,1.00
VFC202300021,2023/04/08,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,15-600-3597,Genovera Skeldon,United States,Georgia,Columbus,31907,,4,8.00,1.00
VFC202300021,2023/04/08,,DE02,5-Minute Keto Recipes,eBook,Digital,15-600-3597,Genovera Skeldon,United States,Georgia,Columbus,31907,,4,8.00,1.00
VFC202300021,2023/04/08,2023/04/17,MA01,Body Builder Tee (Men),Apparel,Merchandise,15-600-3597,Genovera Skeldon,United States,Georgia,Columbus,31907,,4,25.00,1.00
VFC202300022,2023/04/14,,CT01,Virtual Fitness Coach,Consulting,Digital,81-038-3976,Gisele Emblow,United States,California,Los Angeles,90004,,5,30.00,1.00
VFC202300023,2023/04/17,,DE03,Resistance Training Exercise Routines for Women,eBook,Digital,06-189-8457,Mathilde Woodcroft,United States,California,Lakewood,90712,,,8.00,1.00
VFC202300024,2023/04/18,2023/04/22,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,08-724-4287,Ella Antonioni,United States,Virginia,Chesapeake,23320,,5,25.00,5.00
VFC202300025,2023/04/19,2023/04/24,MG01,The VFC Gym Towel,Gear,Merchandise,36-646-9467,Abdel Fehners,United States,California,Los Angeles,90049,VFC10,5,16.00,1.00
